t,nn,pde
  0.0000,5.4322e-03,4.5260e-02
  0.1000,5.7687e-03,8.9183e-02
  0.2000,5.7746e-03,2.5457e-02
  0.3000,6.3619e-03,2.1874e-02
  0.4000,6.2021e-03,2.1345e-02
  0.5000,6.9487e-03,2.6860e-02
  0.6000,6.9065e-03,2.5791e-02
  0.7000,6.7162e-03,2.7788e-02
  0.8000,7.8312e-03,2.8342e-02
  0.9000,7.3130e-03,3.9735e-02
  1.0000,9.6111e-03,3.3996e-02
  1.1000,7.2987e-03,3.5110e-02
  1.2000,8.9674e-03,4.4729e-02
  1.3000,1.1026e-02,3.9725e-02
  1.4000,1.0599e-02,3.7116e-02
  1.5000,8.0007e-03,3.6924e-02
  1.6000,9.0816e-03,3.8804e-02
  1.7000,1.0021e-02,3.7701e-02
  1.8000,1.1572e-02,4.1488e-02
  1.9000,9.7125e-03,4.7197e-02
  2.0000,1.2768e-02,6.0760e-02
  2.1000,1.2142e-02,5.1788e-02
  2.2000,1.0322e-02,4.5538e-02
  2.3000,1.1640e-02,5.0420e-02
  2.4000,1.5507e-02,5.1318e-02
  2.5000,1.1380e-02,5.2845e-02
  2.6000,1.3341e-02,6.2734e-02
  2.7000,1.5375e-02,6.8162e-02
  2.8000,1.5699e-02,6.0545e-02
  2.9000,1.5526e-02,5.3113e-02
  3.0000,1.3168e-02,5.8106e-02
  3.1000,1.1219e-02,5.4812e-02
  3.2000,1.1410e-02,5.4455e-02
  3.3000,1.1539e-02,6.9076e-02
  3.4000,1.5080e-02,6.2169e-02
  3.5000,1.3237e-02,7.1383e-02
  3.6000,1.7985e-02,6.9081e-02
  3.7000,1.3986e-02,6.9923e-02
  3.8000,1.3315e-02,7.2826e-02
  3.9000,1.6998e-02,9.8726e-02
  4.0000,1.6245e-02,7.6681e-02
  4.1000,1.5097e-02,7.2150e-02
  4.2000,1.3486e-02,6.6764e-02
  4.3000,1.6084e-02,7.2346e-02
  4.4000,1.4727e-02,8.4533e-02
  4.5000,1.5952e-02,7.5285e-02
  4.6000,1.8203e-02,7.5233e-02
  4.7000,1.6416e-02,1.0463e-01
  4.8000,2.1505e-02,9.1982e-02
  4.9000,1.5096e-02,9.5496e-02
  5.0000,1.8165e-02,7.9144e-02
  5.1000,2.8455e-02,1.1253e-01
  5.2000,1.5218e-02,8.7962e-02
  5.3000,2.6697e-02,9.9580e-02
  5.4000,1.7521e-02,8.3676e-02
  5.5000,1.8175e-02,9.0763e-02
  5.6000,1.7874e-02,9.2373e-02
  5.7000,1.6429e-02,9.5173e-02
  5.8000,2.7262e-02,1.2466e-01
  5.9000,1.7760e-02,9.2674e-02
  6.0000,2.1109e-02,8.9768e-02
  6.1000,2.2830e-02,8.9329e-02
  6.2000,2.2185e-02,9.2102e-02
  6.3000,2.1607e-02,1.0516e-01
  6.4000,2.5882e-02,9.2101e-02
  6.5000,1.9041e-02,1.0100e-01
  6.6000,2.3327e-02,9.5523e-02
  6.7000,2.3988e-02,1.1354e-01
  6.8000,2.6105e-02,9.6786e-02
  6.9000,1.9575e-02,9.9464e-02
  7.0000,2.0727e-02,1.0606e-01
  7.1000,2.2086e-02,1.1005e-01
  7.2000,2.4310e-02,1.2156e-01
  7.3000,2.5566e-02,1.0090e-01
  7.4000,3.3155e-02,1.3526e-01
  7.5000,2.2471e-02,1.0541e-01
  7.6000,3.0550e-02,1.0752e-01
  7.7000,2.4805e-02,1.0609e-01
  7.8000,2.6388e-02,1.2486e-01
  7.9000,2.8572e-02,1.1314e-01
  8.0000,2.6352e-02,1.1174e-01
  8.1000,2.3894e-02,1.2248e-01
  8.2000,2.6218e-02,1.2914e-01
  8.3000,2.2860e-02,1.1556e-01
  8.4000,2.5895e-02,1.1720e-01
  8.5000,3.1781e-02,1.1862e-01
  8.6000,3.0108e-02,1.2525e-01
  8.7000,2.7120e-02,1.2099e-01
  8.8000,2.8415e-02,1.3351e-01
  8.9000,2.7542e-02,1.2788e-01
  9.0000,2.6149e-02,1.3035e-01
  9.1000,2.8586e-02,1.2701e-01
  9.2000,3.1617e-02,1.3150e-01
  9.3000,2.7128e-02,1.2741e-01
  9.4000,3.6305e-02,1.2497e-01
  9.5000,2.7195e-02,1.3440e-01
  9.6000,2.7681e-02,1.3246e-01
  9.7000,2.9282e-02,1.3689e-01
  9.8000,2.9957e-02,1.3641e-01
  9.9000,2.7357e-02,1.3209e-01
 10.0000,2.7620e-02,1.3645e-01
